date,price_sterling,period
01/01/2018,42.94,0
01/01/2018,47.14,1
01/01/2018,54.6,2
01/01/2018,46.63,3
01/01/2018,39.9,4
01/01/2018,23.41,5
01/01/2018,23.61,6
01/01/2018,29.96,7
01/01/2018,24.09,8
01/01/2018,24.14,9
01/01/2018,42,10
01/01/2018,57,11
01/01/2018,43.4,12
01/01/2018,51.86,13
01/01/2018,55,14
01/01/2018,55,15
01/01/2018,57.88,16
01/01/2018,57.97,17
01/01/2018,75.1,18
01/01/2018,57.97,19
01/01/2018,51.49,20
01/01/2018,55.44,21
01/01/2018,50.54,22
01/01/2018,38.46,23
02/01/2018,33.96,0
02/01/2018,44.88,1
02/01/2018,49.95,2
02/01/2018,46.72,3
02/01/2018,46.71,4
02/01/2018,45.82,5
02/01/2018,45.66,6
02/01/2018,52,7
02/01/2018,43.87,8
02/01/2018,56.15,9
02/01/2018,61.92,10
02/01/2018,56.33,11
02/01/2018,56.15,12
02/01/2018,55.35,13
02/01/2018,44.81,14
02/01/2018,42.74,15
02/01/2018,44.91,16
02/01/2018,60,17
02/01/2018,76.01,18
02/01/2018,60,19
02/01/2018,65.35,20
02/01/2018,60,21
02/01/2018,48.67,22
02/01/2018,42,23
03/01/2018,47.58,0
03/01/2018,49,1
03/01/2018,49.06,2
03/01/2018,45.44,3
03/01/2018,40.6,4
03/01/2018,35,5
03/01/2018,42,6
03/01/2018,48.99,7
03/01/2018,44.03,8
03/01/2018,50.58,9
03/01/2018,54.99,10
03/01/2018,48.87,11
03/01/2018,49,12
03/01/2018,52.44,13
03/01/2018,46.12,14
03/01/2018,49.53,15
03/01/2018,44.5,16
03/01/2018,59.92,17
03/01/2018,77.1,18
03/01/2018,65.69,19
03/01/2018,55.22,20
03/01/2018,51.82,21
03/01/2018,49.55,22
03/01/2018,39.43,23
04/01/2018,42,0
04/01/2018,42.65,1
04/01/2018,42.65,2
04/01/2018,42.61,3
04/01/2018,44.03,4
04/01/2018,44.77,5
04/01/2018,49.24,6
04/01/2018,53.01,7
04/01/2018,53.01,8
04/01/2018,67.03,9
04/01/2018,72.67,10
04/01/2018,74.42,11
04/01/2018,56.89,12
04/01/2018,50,13
04/01/2018,44.1,14
04/01/2018,44.53,15
04/01/2018,44.53,16
04/01/2018,64.1,17
04/01/2018,74.99,18
04/01/2018,64.69,19
04/01/2018,52.01,20
04/01/2018,54.31,21
04/01/2018,52.1,22
04/01/2018,43.59,23
05/01/2018,42.99,0
05/01/2018,45.9,1
05/01/2018,45.42,2
05/01/2018,44.87,3
05/01/2018,44.87,4
05/01/2018,42.94,5
05/01/2018,43.57,6
05/01/2018,46.97,7
05/01/2018,52.02,8
05/01/2018,60.89,9
05/01/2018,64.61,10
05/01/2018,64.82,11
05/01/2018,63.8,12
05/01/2018,62.78,13
05/01/2018,62.86,14
05/01/2018,61.44,15
05/01/2018,52,16
05/01/2018,77.68,17
05/01/2018,100,18
05/01/2018,71.2,19
05/01/2018,55.1,20
05/01/2018,61.89,21
05/01/2018,52.01,22
05/01/2018,42.81,23
06/01/2018,54.82,0
06/01/2018,54.38,1
06/01/2018,49.43,2
06/01/2018,45.41,3
06/01/2018,43.1,4
06/01/2018,39.99,5
06/01/2018,35,6
06/01/2018,39.06,7
06/01/2018,42.59,8
06/01/2018,44.95,9
06/01/2018,49.15,10
06/01/2018,60.06,11
06/01/2018,55.29,12
06/01/2018,54.3,13
06/01/2018,46.07,14
06/01/2018,44.04,15
06/01/2018,44.07,16
06/01/2018,55,17
06/01/2018,78.09,18
06/01/2018,68.17,19
06/01/2018,55.1,20
06/01/2018,55.04,21
06/01/2018,50.92,22
06/01/2018,44.42,23
07/01/2018,47.98,0
07/01/2018,50,1
07/01/2018,47,2
07/01/2018,44.91,3
07/01/2018,42.09,4
07/01/2018,41.31,5
07/01/2018,41.07,6
07/01/2018,41.83,7
07/01/2018,41.42,8
07/01/2018,43.51,9
07/01/2018,49.09,10
07/01/2018,53.06,11
07/01/2018,50.76,12
07/01/2018,55,13
07/01/2018,55,14
07/01/2018,54.42,15
07/01/2018,48.84,16
07/01/2018,61.1,17
07/01/2018,91.66,18
07/01/2018,66.82,19
07/01/2018,58.93,20
07/01/2018,53.05,21
07/01/2018,48.94,22
07/01/2018,41.92,23
08/01/2018,42.81,0
08/01/2018,42.34,1
08/01/2018,42.5,2
08/01/2018,42.05,3
08/01/2018,42.01,4
08/01/2018,41.42,5
08/01/2018,42.11,6
08/01/2018,48.59,7
08/01/2018,46.56,8
08/01/2018,55.44,9
08/01/2018,59,10
08/01/2018,55.1,11
08/01/2018,54.14,12
08/01/2018,55,13
08/01/2018,55,14
08/01/2018,52.66,15
08/01/2018,46.82,16
08/01/2018,59.18,17
08/01/2018,75.72,18
08/01/2018,63.92,19
08/01/2018,60,20
08/01/2018,46.55,21
08/01/2018,53.06,22
08/01/2018,42.39,23
09/01/2018,43.52,0
09/01/2018,44.15,1
09/01/2018,44.82,2
09/01/2018,43.06,3
09/01/2018,43,4
09/01/2018,43.03,5
09/01/2018,44.3,6
09/01/2018,55,7
09/01/2018,53.52,8
09/01/2018,53.44,9
09/01/2018,54.99,10
